21/10/29 01:28:13 INFO client.AHSProxy: Connecting to Application History server at manager.cuhk.com/10.26.10.201:10200
21/10/29 01:28:13 INFO hdfs.DFSClient: Created token for team12: HDFS_DELEGATION_TOKEN owner=team12@BIGDATA, renewer=yarn, realUser=, issueDate=1635442387202, maxDate=1636047187202, sequenceNumber=5120479, masterKeyId=654 on ha-hdfs:cuhkcluster
21/10/29 01:28:13 INFO kms.KMSClientProvider: Getting new token from http://manager.cuhk.com:9292/kms/v1/, renewer:rm/master1.cuhk.com@BIGDATA
21/10/29 01:28:13 INFO kms.KMSClientProvider: New token received: (Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team12, renewer=yarn, realUser=, issueDate=1635442387321, maxDate=1636047187321, sequenceNumber=16644, masterKeyId=265))
21/10/29 01:28:13 INFO security.TokenCache: Got dt for hdfs://cuhkcluster; Kind: HDFS_DELEGATION_TOKEN, Service: ha-hdfs:cuhkcluster, Ident: (token for team12: HDFS_DELEGATION_TOKEN owner=team12@BIGDATA, renewer=yarn, realUser=, issueDate=1635442387202, maxDate=1636047187202, sequenceNumber=5120479, masterKeyId=654)
21/10/29 01:28:13 INFO security.TokenCache: Got dt for hdfs://cuhkcluster; Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team12, renewer=yarn, realUser=, issueDate=1635442387321, maxDate=1636047187321, sequenceNumber=16644, masterKeyId=265)
21/10/29 01:28:14 INFO mapreduce.JobResourceUploader: Disabling Erasure Coding for path: /user/team12/.staging/job_1633939588974_15587
21/10/29 01:28:14 INFO input.FileInputFormat: Total input files to process : 3
21/10/29 01:28:14 INFO mapreduce.JobSubmitter: number of splits:183
21/10/29 01:28:14 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1633939588974_15587
21/10/29 01:28:14 INFO mapreduce.JobSubmitter: Executing with tokens: [Kind: HDFS_DELEGATION_TOKEN, Service: ha-hdfs:cuhkcluster, Ident: (token for team12: HDFS_DELEGATION_TOKEN owner=team12@BIGDATA, renewer=yarn, realUser=, issueDate=1635442387202, maxDate=1636047187202, sequenceNumber=5120479, masterKeyId=654), Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team12, renewer=yarn, realUser=, issueDate=1635442387321, maxDate=1636047187321, sequenceNumber=16644, masterKeyId=265)]
21/10/29 01:28:14 INFO conf.Configuration: found resource resource-types.xml at file:/usr/hdp/3.0.1.0-187/hadoop/etc/hadoop/resource-types.xml
21/10/29 01:28:14 INFO impl.TimelineClientImpl: Timeline service address: manager.cuhk.com:8188
21/10/29 01:28:15 INFO impl.YarnClientImpl: Submitted application application_1633939588974_15587
21/10/29 01:28:15 INFO mapreduce.Job: The url to track the job: http://master1.cuhk.com:8088/proxy/application_1633939588974_15587/
21/10/29 01:28:15 INFO mapreduce.Job: Running job: job_1633939588974_15587
21/10/29 01:28:23 INFO mapreduce.Job: Job job_1633939588974_15587 running in uber mode : false
21/10/29 01:28:23 INFO mapreduce.Job:  map 0% reduce 0%
21/10/29 01:28:43 INFO mapreduce.Job:  map 1% reduce 0%
21/10/29 01:28:44 INFO mapreduce.Job:  map 2% reduce 0%
21/10/29 01:28:47 INFO mapreduce.Job:  map 4% reduce 0%
21/10/29 01:28:50 INFO mapreduce.Job:  map 5% reduce 0%
21/10/29 01:29:11 INFO mapreduce.Job:  map 6% reduce 0%
21/10/29 01:29:12 INFO mapreduce.Job:  map 7% reduce 0%
21/10/29 01:29:13 INFO mapreduce.Job:  map 8% reduce 0%
21/10/29 01:29:24 INFO mapreduce.Job:  map 9% reduce 0%
21/10/29 01:29:28 INFO mapreduce.Job:  map 11% reduce 0%
21/10/29 01:29:30 INFO mapreduce.Job:  map 12% reduce 0%
21/10/29 01:29:32 INFO mapreduce.Job:  map 13% reduce 0%
21/10/29 01:29:52 INFO mapreduce.Job:  map 14% reduce 0%
21/10/29 01:29:56 INFO mapreduce.Job:  map 15% reduce 0%
21/10/29 01:30:02 INFO mapreduce.Job:  map 16% reduce 0%
21/10/29 01:30:05 INFO mapreduce.Job:  map 17% reduce 0%
21/10/29 01:30:08 INFO mapreduce.Job:  map 18% reduce 0%
21/10/29 01:30:09 INFO mapreduce.Job:  map 19% reduce 0%
21/10/29 01:30:11 INFO mapreduce.Job:  map 20% reduce 0%
21/10/29 01:30:12 INFO mapreduce.Job:  map 20% reduce 5%
21/10/29 01:30:30 INFO mapreduce.Job:  map 20% reduce 6%
21/10/29 01:30:31 INFO mapreduce.Job:  map 21% reduce 6%
21/10/29 01:30:33 INFO mapreduce.Job:  map 21% reduce 7%
21/10/29 01:30:35 INFO mapreduce.Job:  map 22% reduce 7%
21/10/29 01:30:40 INFO mapreduce.Job:  map 23% reduce 7%
21/10/29 01:30:43 INFO mapreduce.Job:  map 24% reduce 7%
21/10/29 01:30:46 INFO mapreduce.Job:  map 25% reduce 7%
21/10/29 01:30:48 INFO mapreduce.Job:  map 26% reduce 7%
21/10/29 01:31:07 INFO mapreduce.Job:  map 27% reduce 7%
21/10/29 01:31:10 INFO mapreduce.Job:  map 27% reduce 8%
21/10/29 01:31:12 INFO mapreduce.Job:  map 28% reduce 8%
21/10/29 01:31:15 INFO mapreduce.Job:  map 29% reduce 8%
21/10/29 01:31:17 INFO mapreduce.Job:  map 29% reduce 9%
21/10/29 01:31:22 INFO mapreduce.Job:  map 30% reduce 9%
21/10/29 01:31:26 INFO mapreduce.Job:  map 31% reduce 9%
21/10/29 01:31:27 INFO mapreduce.Job:  map 32% reduce 9%
21/10/29 01:31:30 INFO mapreduce.Job:  map 33% reduce 9%
21/10/29 01:31:44 INFO mapreduce.Job:  map 33% reduce 10%
21/10/29 01:31:49 INFO mapreduce.Job:  map 34% reduce 10%
21/10/29 01:31:53 INFO mapreduce.Job:  map 35% reduce 11%
21/10/29 01:31:58 INFO mapreduce.Job:  map 36% reduce 11%
21/10/29 01:31:59 INFO mapreduce.Job:  map 36% reduce 12%
21/10/29 01:32:02 INFO mapreduce.Job:  map 37% reduce 12%
21/10/29 01:32:05 INFO mapreduce.Job:  map 38% reduce 12%
21/10/29 01:32:07 INFO mapreduce.Job:  map 39% reduce 12%
21/10/29 01:32:21 INFO mapreduce.Job:  map 40% reduce 12%
21/10/29 01:32:29 INFO mapreduce.Job:  map 41% reduce 12%
21/10/29 01:32:30 INFO mapreduce.Job:  map 41% reduce 13%
21/10/29 01:32:33 INFO mapreduce.Job:  map 42% reduce 13%
21/10/29 01:32:36 INFO mapreduce.Job:  map 42% reduce 14%
21/10/29 01:32:38 INFO mapreduce.Job:  map 43% reduce 14%
21/10/29 01:32:41 INFO mapreduce.Job:  map 44% reduce 14%
21/10/29 01:32:45 INFO mapreduce.Job:  map 45% reduce 14%
21/10/29 01:32:48 INFO mapreduce.Job:  map 46% reduce 14%
21/10/29 01:33:07 INFO mapreduce.Job:  map 47% reduce 14%
21/10/29 01:33:09 INFO mapreduce.Job:  map 48% reduce 14%
21/10/29 01:33:10 INFO mapreduce.Job:  map 48% reduce 15%
21/10/29 01:33:11 INFO mapreduce.Job:  map 49% reduce 15%
21/10/29 01:33:13 INFO mapreduce.Job:  map 49% reduce 16%
21/10/29 01:33:18 INFO mapreduce.Job:  map 50% reduce 16%
21/10/29 01:33:21 INFO mapreduce.Job:  map 51% reduce 16%
21/10/29 01:33:24 INFO mapreduce.Job:  map 52% reduce 16%
21/10/29 01:33:38 INFO mapreduce.Job:  map 53% reduce 16%
21/10/29 01:33:40 INFO mapreduce.Job:  map 53% reduce 17%
21/10/29 01:33:45 INFO mapreduce.Job:  map 54% reduce 17%
21/10/29 01:33:48 INFO mapreduce.Job:  map 55% reduce 17%
21/10/29 01:33:49 INFO mapreduce.Job:  map 55% reduce 18%
21/10/29 01:33:52 INFO mapreduce.Job:  map 56% reduce 18%
21/10/29 01:33:57 INFO mapreduce.Job:  map 57% reduce 18%
21/10/29 01:34:00 INFO mapreduce.Job:  map 58% reduce 18%
21/10/29 01:34:03 INFO mapreduce.Job:  map 59% reduce 18%
21/10/29 01:34:19 INFO mapreduce.Job:  map 60% reduce 18%
21/10/29 01:34:20 INFO mapreduce.Job:  map 60% reduce 19%
21/10/29 01:34:24 INFO mapreduce.Job:  map 61% reduce 19%
21/10/29 01:34:27 INFO mapreduce.Job:  map 61% reduce 20%
21/10/29 01:34:30 INFO mapreduce.Job:  map 62% reduce 20%
21/10/29 01:34:35 INFO mapreduce.Job:  map 63% reduce 20%
21/10/29 01:34:38 INFO mapreduce.Job:  map 64% reduce 20%
21/10/29 01:34:41 INFO mapreduce.Job:  map 65% reduce 20%
21/10/29 01:34:46 INFO mapreduce.Job:  map 66% reduce 20%
21/10/29 01:34:57 INFO mapreduce.Job:  map 66% reduce 21%
21/10/29 01:35:02 INFO mapreduce.Job:  map 67% reduce 21%
21/10/29 01:35:03 INFO mapreduce.Job:  map 67% reduce 22%
21/10/29 01:35:06 INFO mapreduce.Job:  map 68% reduce 22%
21/10/29 01:35:09 INFO mapreduce.Job:  map 68% reduce 23%
21/10/29 01:35:12 INFO mapreduce.Job:  map 69% reduce 23%
21/10/29 01:35:15 INFO mapreduce.Job:  map 70% reduce 23%
21/10/29 01:35:19 INFO mapreduce.Job:  map 71% reduce 23%
21/10/29 01:35:22 INFO mapreduce.Job:  map 72% reduce 23%
21/10/29 01:35:38 INFO mapreduce.Job:  map 73% reduce 23%
21/10/29 01:35:42 INFO mapreduce.Job:  map 74% reduce 23%
21/10/29 01:35:43 INFO mapreduce.Job:  map 74% reduce 24%
21/10/29 01:35:48 INFO mapreduce.Job:  map 75% reduce 24%
21/10/29 01:35:49 INFO mapreduce.Job:  map 75% reduce 25%
21/10/29 01:35:51 INFO mapreduce.Job:  map 76% reduce 25%
21/10/29 01:35:54 INFO mapreduce.Job:  map 77% reduce 25%
21/10/29 01:35:57 INFO mapreduce.Job:  map 78% reduce 25%
21/10/29 01:36:02 INFO mapreduce.Job:  map 79% reduce 25%
21/10/29 01:36:16 INFO mapreduce.Job:  map 79% reduce 26%
21/10/29 01:36:18 INFO mapreduce.Job:  map 80% reduce 26%
21/10/29 01:36:24 INFO mapreduce.Job:  map 81% reduce 26%
21/10/29 01:36:26 INFO mapreduce.Job:  map 81% reduce 27%
21/10/29 01:36:27 INFO mapreduce.Job:  map 82% reduce 27%
21/10/29 01:36:30 INFO mapreduce.Job:  map 83% reduce 27%
21/10/29 01:36:34 INFO mapreduce.Job:  map 84% reduce 27%
21/10/29 01:36:38 INFO mapreduce.Job:  map 85% reduce 27%
21/10/29 01:36:52 INFO mapreduce.Job:  map 86% reduce 27%
21/10/29 01:36:56 INFO mapreduce.Job:  map 86% reduce 28%
21/10/29 01:36:59 INFO mapreduce.Job:  map 87% reduce 28%
21/10/29 01:37:02 INFO mapreduce.Job:  map 87% reduce 29%
21/10/29 01:37:04 INFO mapreduce.Job:  map 88% reduce 29%
21/10/29 01:37:06 INFO mapreduce.Job:  map 89% reduce 29%
21/10/29 01:37:09 INFO mapreduce.Job:  map 90% reduce 29%
21/10/29 01:37:14 INFO mapreduce.Job:  map 91% reduce 29%
21/10/29 01:37:19 INFO mapreduce.Job:  map 92% reduce 29%
21/10/29 01:37:32 INFO mapreduce.Job:  map 93% reduce 29%
21/10/29 01:37:33 INFO mapreduce.Job:  map 93% reduce 30%
21/10/29 01:37:37 INFO mapreduce.Job:  map 94% reduce 30%
21/10/29 01:37:39 INFO mapreduce.Job:  map 94% reduce 31%
21/10/29 01:37:42 INFO mapreduce.Job:  map 95% reduce 31%
21/10/29 01:37:44 INFO mapreduce.Job:  map 96% reduce 31%
21/10/29 01:37:48 INFO mapreduce.Job:  map 97% reduce 31%
21/10/29 01:37:50 INFO mapreduce.Job:  map 98% reduce 31%
21/10/29 01:38:02 INFO mapreduce.Job:  map 99% reduce 31%
21/10/29 01:38:03 INFO mapreduce.Job:  map 99% reduce 32%
21/10/29 01:38:06 INFO mapreduce.Job:  map 99% reduce 33%
21/10/29 01:38:07 INFO mapreduce.Job:  map 100% reduce 33%
