21/10/20 15:42:10 INFO terasort.TeraSort: starting
21/10/20 15:42:11 INFO hdfs.DFSClient: Created token for team12: HDFS_DELEGATION_TOKEN owner=team12@BIGDATA, renewer=yarn, realUser=, issueDate=1634716004405, maxDate=1635320804405, sequenceNumber=5034900, masterKeyId=645 on ha-hdfs:cuhkcluster
21/10/20 15:42:11 INFO kms.KMSClientProvider: Getting new token from http://manager.cuhk.com:9292/kms/v1/, renewer:rm/master1.cuhk.com@BIGDATA
21/10/20 15:42:11 INFO kms.KMSClientProvider: New token received: (Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team12, renewer=yarn, realUser=, issueDate=1634716004498, maxDate=1635320804498, sequenceNumber=3702, masterKeyId=256))
21/10/20 15:42:11 INFO security.TokenCache: Got dt for hdfs://cuhkcluster; Kind: HDFS_DELEGATION_TOKEN, Service: ha-hdfs:cuhkcluster, Ident: (token for team12: HDFS_DELEGATION_TOKEN owner=team12@BIGDATA, renewer=yarn, realUser=, issueDate=1634716004405, maxDate=1635320804405, sequenceNumber=5034900, masterKeyId=645)
21/10/20 15:42:11 INFO security.TokenCache: Got dt for hdfs://cuhkcluster; Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team12, renewer=yarn, realUser=, issueDate=1634716004498, maxDate=1635320804498, sequenceNumber=3702, masterKeyId=256)
21/10/20 15:42:11 INFO input.FileInputFormat: Total input files to process : 1
Spent 624ms computing base-splits.
Spent 3ms computing TeraScheduler splits.
Computing input splits took 628ms
Sampling 10 splits of 239
Making 3 from 100000 sampled records
Computing parititions took 438ms
Spent 1068ms computing partitions.
21/10/20 15:42:12 INFO client.AHSProxy: Connecting to Application History server at manager.cuhk.com/10.26.10.201:10200
21/10/20 15:42:12 INFO mapreduce.JobResourceUploader: Disabling Erasure Coding for path: /user/team12/.staging/job_1633939588974_2955
21/10/20 15:42:12 INFO mapreduce.JobSubmitter: number of splits:239
21/10/20 15:42:12 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1633939588974_2955
21/10/20 15:42:12 INFO mapreduce.JobSubmitter: Executing with tokens: [Kind: HDFS_DELEGATION_TOKEN, Service: ha-hdfs:cuhkcluster, Ident: (token for team12: HDFS_DELEGATION_TOKEN owner=team12@BIGDATA, renewer=yarn, realUser=, issueDate=1634716004405, maxDate=1635320804405, sequenceNumber=5034900, masterKeyId=645), Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team12, renewer=yarn, realUser=, issueDate=1634716004498, maxDate=1635320804498, sequenceNumber=3702, masterKeyId=256)]
21/10/20 15:42:12 INFO conf.Configuration: found resource resource-types.xml at file:/usr/hdp/3.0.1.0-187/hadoop/etc/hadoop/resource-types.xml
21/10/20 15:42:12 INFO impl.TimelineClientImpl: Timeline service address: manager.cuhk.com:8188
21/10/20 15:42:13 INFO impl.YarnClientImpl: Submitted application application_1633939588974_2955
21/10/20 15:42:13 INFO mapreduce.Job: The url to track the job: http://master1.cuhk.com:8088/proxy/application_1633939588974_2955/
21/10/20 15:42:13 INFO mapreduce.Job: Running job: job_1633939588974_2955
21/10/20 15:42:21 INFO mapreduce.Job: Job job_1633939588974_2955 running in uber mode : false
21/10/20 15:42:21 INFO mapreduce.Job:  map 0% reduce 0%
21/10/20 15:42:36 INFO mapreduce.Job:  map 4% reduce 0%
21/10/20 15:42:38 INFO mapreduce.Job:  map 6% reduce 0%
21/10/20 15:42:49 INFO mapreduce.Job:  map 7% reduce 0%
21/10/20 15:42:50 INFO mapreduce.Job:  map 10% reduce 0%
21/10/20 15:42:52 INFO mapreduce.Job:  map 11% reduce 0%
21/10/20 15:42:53 INFO mapreduce.Job:  map 12% reduce 0%
21/10/20 15:43:02 INFO mapreduce.Job:  map 13% reduce 0%
21/10/20 15:43:04 INFO mapreduce.Job:  map 14% reduce 0%
21/10/20 15:43:05 INFO mapreduce.Job:  map 16% reduce 0%
21/10/20 15:43:06 INFO mapreduce.Job:  map 17% reduce 0%
21/10/20 15:43:08 INFO mapreduce.Job:  map 18% reduce 0%
21/10/20 15:43:14 INFO mapreduce.Job:  map 19% reduce 0%
21/10/20 15:43:16 INFO mapreduce.Job:  map 19% reduce 2%
21/10/20 15:43:18 INFO mapreduce.Job:  map 20% reduce 2%
21/10/20 15:43:19 INFO mapreduce.Job:  map 21% reduce 2%
21/10/20 15:43:20 INFO mapreduce.Job:  map 22% reduce 2%
21/10/20 15:43:22 INFO mapreduce.Job:  map 23% reduce 2%
21/10/20 15:43:23 INFO mapreduce.Job:  map 23% reduce 3%
21/10/20 15:43:29 INFO mapreduce.Job:  map 24% reduce 3%
21/10/20 15:43:31 INFO mapreduce.Job:  map 25% reduce 3%
21/10/20 15:43:32 INFO mapreduce.Job:  map 26% reduce 3%
21/10/20 15:43:33 INFO mapreduce.Job:  map 27% reduce 3%
21/10/20 15:43:34 INFO mapreduce.Job:  map 28% reduce 3%
21/10/20 15:43:42 INFO mapreduce.Job:  map 29% reduce 3%
21/10/20 15:43:43 INFO mapreduce.Job:  map 30% reduce 3%
21/10/20 15:43:44 INFO mapreduce.Job:  map 31% reduce 3%
21/10/20 15:43:46 INFO mapreduce.Job:  map 32% reduce 3%
21/10/20 15:43:47 INFO mapreduce.Job:  map 33% reduce 3%
21/10/20 15:43:48 INFO mapreduce.Job:  map 33% reduce 4%
21/10/20 15:43:54 INFO mapreduce.Job:  map 33% reduce 6%
21/10/20 15:43:55 INFO mapreduce.Job:  map 34% reduce 6%
21/10/20 15:43:56 INFO mapreduce.Job:  map 36% reduce 6%
21/10/20 15:43:57 INFO mapreduce.Job:  map 37% reduce 7%
21/10/20 15:44:00 INFO mapreduce.Job:  map 37% reduce 8%
21/10/20 15:44:05 INFO mapreduce.Job:  map 38% reduce 8%
21/10/20 15:44:09 INFO mapreduce.Job:  map 40% reduce 8%
21/10/20 15:44:10 INFO mapreduce.Job:  map 41% reduce 8%
21/10/20 15:44:15 INFO mapreduce.Job:  map 41% reduce 9%
21/10/20 15:44:16 INFO mapreduce.Job:  map 42% reduce 9%
21/10/20 15:44:20 INFO mapreduce.Job:  map 43% reduce 9%
21/10/20 15:44:21 INFO mapreduce.Job:  map 44% reduce 9%
21/10/20 15:44:22 INFO mapreduce.Job:  map 45% reduce 9%
21/10/20 15:44:23 INFO mapreduce.Job:  map 46% reduce 9%
21/10/20 15:44:24 INFO mapreduce.Job:  map 46% reduce 10%
21/10/20 15:44:31 INFO mapreduce.Job:  map 46% reduce 11%
21/10/20 15:44:33 INFO mapreduce.Job:  map 48% reduce 11%
21/10/20 15:44:34 INFO mapreduce.Job:  map 48% reduce 12%
21/10/20 15:44:35 INFO mapreduce.Job:  map 49% reduce 12%
21/10/20 15:44:36 INFO mapreduce.Job:  map 49% reduce 13%
21/10/20 15:44:43 INFO mapreduce.Job:  map 49% reduce 14%
21/10/20 15:44:44 INFO mapreduce.Job:  map 50% reduce 14%
21/10/20 15:44:45 INFO mapreduce.Job:  map 52% reduce 14%
21/10/20 15:44:48 INFO mapreduce.Job:  map 52% reduce 15%
21/10/20 15:44:55 INFO mapreduce.Job:  map 54% reduce 15%
21/10/20 15:44:56 INFO mapreduce.Job:  map 55% reduce 15%
21/10/20 15:44:57 INFO mapreduce.Job:  map 55% reduce 16%
21/10/20 15:44:58 INFO mapreduce.Job:  map 56% reduce 17%
21/10/20 15:45:04 INFO mapreduce.Job:  map 56% reduce 18%
21/10/20 15:45:07 INFO mapreduce.Job:  map 57% reduce 18%
21/10/20 15:45:08 INFO mapreduce.Job:  map 58% reduce 18%
21/10/20 15:45:09 INFO mapreduce.Job:  map 59% reduce 18%
21/10/20 15:45:10 INFO mapreduce.Job:  map 59% reduce 19%
21/10/20 15:45:17 INFO mapreduce.Job:  map 60% reduce 19%
21/10/20 15:45:18 INFO mapreduce.Job:  map 61% reduce 19%
21/10/20 15:45:20 INFO mapreduce.Job:  map 62% reduce 19%
21/10/20 15:45:21 INFO mapreduce.Job:  map 62% reduce 20%
21/10/20 15:45:23 INFO mapreduce.Job:  map 62% reduce 21%
21/10/20 15:45:28 INFO mapreduce.Job:  map 63% reduce 21%
21/10/20 15:45:29 INFO mapreduce.Job:  map 64% reduce 21%
21/10/20 15:45:31 INFO mapreduce.Job:  map 65% reduce 21%
21/10/20 15:45:32 INFO mapreduce.Job:  map 66% reduce 21%
21/10/20 15:45:33 INFO mapreduce.Job:  map 66% reduce 22%
21/10/20 15:45:41 INFO mapreduce.Job:  map 67% reduce 22%
21/10/20 15:45:42 INFO mapreduce.Job:  map 68% reduce 22%
21/10/20 15:45:43 INFO mapreduce.Job:  map 69% reduce 22%
21/10/20 15:45:45 INFO mapreduce.Job:  map 69% reduce 23%
21/10/20 15:45:53 INFO mapreduce.Job:  map 70% reduce 23%
21/10/20 15:45:54 INFO mapreduce.Job:  map 71% reduce 23%
21/10/20 15:45:55 INFO mapreduce.Job:  map 72% reduce 23%
21/10/20 15:45:56 INFO mapreduce.Job:  map 72% reduce 24%
21/10/20 15:46:03 INFO mapreduce.Job:  map 73% reduce 24%
21/10/20 15:46:04 INFO mapreduce.Job:  map 74% reduce 24%
21/10/20 15:46:05 INFO mapreduce.Job:  map 75% reduce 24%
21/10/20 15:46:06 INFO mapreduce.Job:  map 76% reduce 24%
21/10/20 15:46:08 INFO mapreduce.Job:  map 76% reduce 25%
21/10/20 15:46:16 INFO mapreduce.Job:  map 78% reduce 25%
21/10/20 15:46:17 INFO mapreduce.Job:  map 79% reduce 25%
21/10/20 15:46:19 INFO mapreduce.Job:  map 79% reduce 26%
21/10/20 15:46:26 INFO mapreduce.Job:  map 80% reduce 26%
21/10/20 15:46:27 INFO mapreduce.Job:  map 82% reduce 26%
21/10/20 15:46:30 INFO mapreduce.Job:  map 82% reduce 27%
21/10/20 15:46:36 INFO mapreduce.Job:  map 83% reduce 27%
21/10/20 15:46:37 INFO mapreduce.Job:  map 84% reduce 28%
21/10/20 15:46:38 INFO mapreduce.Job:  map 85% reduce 28%
21/10/20 15:46:39 INFO mapreduce.Job:  map 86% reduce 28%
21/10/20 15:46:42 INFO mapreduce.Job:  map 86% reduce 29%
21/10/20 15:46:48 INFO mapreduce.Job:  map 88% reduce 29%
21/10/20 15:46:49 INFO mapreduce.Job:  map 89% reduce 29%
21/10/20 15:46:52 INFO mapreduce.Job:  map 89% reduce 30%
21/10/20 15:46:57 INFO mapreduce.Job:  map 90% reduce 30%
21/10/20 15:46:58 INFO mapreduce.Job:  map 91% reduce 30%
21/10/20 15:46:59 INFO mapreduce.Job:  map 92% reduce 30%
21/10/20 15:47:03 INFO mapreduce.Job:  map 92% reduce 31%
21/10/20 15:47:08 INFO mapreduce.Job:  map 93% reduce 31%
21/10/20 15:47:09 INFO mapreduce.Job:  map 94% reduce 31%
21/10/20 15:47:10 INFO mapreduce.Job:  map 95% reduce 31%
21/10/20 15:47:11 INFO mapreduce.Job:  map 96% reduce 31%
21/10/20 15:47:12 INFO mapreduce.Job:  map 96% reduce 32%
21/10/20 15:47:19 INFO mapreduce.Job:  map 97% reduce 32%
21/10/20 15:47:20 INFO mapreduce.Job:  map 98% reduce 32%
21/10/20 15:47:22 INFO mapreduce.Job:  map 99% reduce 32%
21/10/20 15:47:24 INFO mapreduce.Job:  map 99% reduce 33%
21/10/20 15:47:28 INFO mapreduce.Job:  map 100% reduce 33%
21/10/20 15:47:33 INFO mapreduce.Job:  map 100% reduce 35%
21/10/20 15:47:34 INFO mapreduce.Job:  map 100% reduce 36%
21/10/20 15:47:35 INFO mapreduce.Job:  map 100% reduce 38%
21/10/20 15:47:36 INFO mapreduce.Job:  map 100% reduce 41%
21/10/20 15:47:37 INFO mapreduce.Job:  map 100% reduce 44%
21/10/20 15:47:38 INFO mapreduce.Job:  map 100% reduce 47%
21/10/20 15:47:39 INFO mapreduce.Job:  map 100% reduce 50%
21/10/20 15:47:40 INFO mapreduce.Job:  map 100% reduce 53%
21/10/20 15:47:41 INFO mapreduce.Job:  map 100% reduce 56%
21/10/20 15:47:43 INFO mapreduce.Job:  map 100% reduce 62%
21/10/20 15:47:44 INFO mapreduce.Job:  map 100% reduce 65%
21/10/20 15:47:46 INFO mapreduce.Job:  map 100% reduce 67%
21/10/20 15:47:49 INFO mapreduce.Job:  map 100% reduce 68%
21/10/20 15:47:52 INFO mapreduce.Job:  map 100% reduce 69%
21/10/20 15:47:55 INFO mapreduce.Job:  map 100% reduce 70%
21/10/20 15:47:58 INFO mapreduce.Job:  map 100% reduce 71%
21/10/20 15:48:01 INFO mapreduce.Job:  map 100% reduce 72%
21/10/20 15:48:04 INFO mapreduce.Job:  map 100% reduce 73%
21/10/20 15:48:07 INFO mapreduce.Job:  map 100% reduce 74%
21/10/20 15:48:10 INFO mapreduce.Job:  map 100% reduce 75%
21/10/20 15:48:13 INFO mapreduce.Job:  map 100% reduce 76%
21/10/20 15:48:17 INFO mapreduce.Job:  map 100% reduce 77%
21/10/20 15:48:20 INFO mapreduce.Job:  map 100% reduce 78%
21/10/20 15:48:23 INFO mapreduce.Job:  map 100% reduce 79%
21/10/20 15:48:26 INFO mapreduce.Job:  map 100% reduce 80%
21/10/20 15:48:29 INFO mapreduce.Job:  map 100% reduce 81%
21/10/20 15:48:32 INFO mapreduce.Job:  map 100% reduce 82%
21/10/20 15:48:36 INFO mapreduce.Job:  map 100% reduce 83%
21/10/20 15:48:41 INFO mapreduce.Job:  map 100% reduce 84%
21/10/20 15:48:44 INFO mapreduce.Job:  map 100% reduce 85%
21/10/20 15:48:47 INFO mapreduce.Job:  map 100% reduce 86%
21/10/20 15:48:50 INFO mapreduce.Job:  map 100% reduce 87%
21/10/20 15:48:54 INFO mapreduce.Job:  map 100% reduce 88%
21/10/20 15:48:57 INFO mapreduce.Job:  map 100% reduce 89%
21/10/20 15:49:00 INFO mapreduce.Job:  map 100% reduce 90%
21/10/20 15:49:03 INFO mapreduce.Job:  map 100% reduce 91%
21/10/20 15:49:06 INFO mapreduce.Job:  map 100% reduce 92%
21/10/20 15:49:09 INFO mapreduce.Job:  map 100% reduce 93%
21/10/20 15:49:12 INFO mapreduce.Job:  map 100% reduce 94%
21/10/20 15:49:15 INFO mapreduce.Job:  map 100% reduce 95%
21/10/20 15:49:18 INFO mapreduce.Job:  map 100% reduce 96%
