21/10/20 13:22:09 INFO terasort.TeraSort: starting
21/10/20 13:22:10 INFO hdfs.DFSClient: Created token for team12: HDFS_DELEGATION_TOKEN owner=team12@BIGDATA, renewer=yarn, realUser=, issueDate=1634707603702, maxDate=1635312403702, sequenceNumber=5033857, masterKeyId=645 on ha-hdfs:cuhkcluster
21/10/20 13:22:10 INFO kms.KMSClientProvider: Getting new token from http://manager.cuhk.com:9292/kms/v1/, renewer:rm/master1.cuhk.com@BIGDATA
21/10/20 13:22:10 INFO kms.KMSClientProvider: New token received: (Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team12, renewer=yarn, realUser=, issueDate=1634707603776, maxDate=1635312403776, sequenceNumber=3499, masterKeyId=256))
21/10/20 13:22:10 INFO security.TokenCache: Got dt for hdfs://cuhkcluster; Kind: HDFS_DELEGATION_TOKEN, Service: ha-hdfs:cuhkcluster, Ident: (token for team12: HDFS_DELEGATION_TOKEN owner=team12@BIGDATA, renewer=yarn, realUser=, issueDate=1634707603702, maxDate=1635312403702, sequenceNumber=5033857, masterKeyId=645)
21/10/20 13:22:10 INFO security.TokenCache: Got dt for hdfs://cuhkcluster; Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team12, renewer=yarn, realUser=, issueDate=1634707603776, maxDate=1635312403776, sequenceNumber=3499, masterKeyId=256)
21/10/20 13:22:11 INFO input.FileInputFormat: Total input files to process : 1
Spent 583ms computing base-splits.
Spent 3ms computing TeraScheduler splits.
Computing input splits took 587ms
Sampling 10 splits of 239
Making 2 from 100000 sampled records
Computing parititions took 438ms
Spent 1029ms computing partitions.
21/10/20 13:22:11 INFO client.AHSProxy: Connecting to Application History server at manager.cuhk.com/10.26.10.201:10200
21/10/20 13:22:11 INFO mapreduce.JobResourceUploader: Disabling Erasure Coding for path: /user/team12/.staging/job_1633939588974_2752
21/10/20 13:22:12 INFO mapreduce.JobSubmitter: number of splits:239
21/10/20 13:22:12 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1633939588974_2752
21/10/20 13:22:12 INFO mapreduce.JobSubmitter: Executing with tokens: [Kind: HDFS_DELEGATION_TOKEN, Service: ha-hdfs:cuhkcluster, Ident: (token for team12: HDFS_DELEGATION_TOKEN owner=team12@BIGDATA, renewer=yarn, realUser=, issueDate=1634707603702, maxDate=1635312403702, sequenceNumber=5033857, masterKeyId=645), Kind: kms-dt, Service: 10.26.10.201:9292, Ident: (kms-dt owner=team12, renewer=yarn, realUser=, issueDate=1634707603776, maxDate=1635312403776, sequenceNumber=3499, masterKeyId=256)]
21/10/20 13:22:12 INFO conf.Configuration: found resource resource-types.xml at file:/usr/hdp/3.0.1.0-187/hadoop/etc/hadoop/resource-types.xml
21/10/20 13:22:12 INFO impl.TimelineClientImpl: Timeline service address: manager.cuhk.com:8188
21/10/20 13:22:12 INFO impl.YarnClientImpl: Submitted application application_1633939588974_2752
21/10/20 13:22:13 INFO mapreduce.Job: The url to track the job: http://master1.cuhk.com:8088/proxy/application_1633939588974_2752/
21/10/20 13:22:13 INFO mapreduce.Job: Running job: job_1633939588974_2752
21/10/20 13:22:22 INFO mapreduce.Job: Job job_1633939588974_2752 running in uber mode : false
21/10/20 13:22:22 INFO mapreduce.Job:  map 0% reduce 0%
21/10/20 13:22:36 INFO mapreduce.Job:  map 4% reduce 0%
21/10/20 13:22:38 INFO mapreduce.Job:  map 5% reduce 0%
21/10/20 13:22:39 INFO mapreduce.Job:  map 6% reduce 0%
21/10/20 13:22:49 INFO mapreduce.Job:  map 8% reduce 0%
21/10/20 13:22:50 INFO mapreduce.Job:  map 9% reduce 0%
21/10/20 13:22:51 INFO mapreduce.Job:  map 10% reduce 0%
21/10/20 13:22:52 INFO mapreduce.Job:  map 11% reduce 0%
21/10/20 13:22:53 INFO mapreduce.Job:  map 12% reduce 0%
21/10/20 13:23:02 INFO mapreduce.Job:  map 13% reduce 0%
21/10/20 13:23:03 INFO mapreduce.Job:  map 14% reduce 0%
21/10/20 13:23:04 INFO mapreduce.Job:  map 16% reduce 0%
21/10/20 13:23:05 INFO mapreduce.Job:  map 17% reduce 0%
21/10/20 13:23:07 INFO mapreduce.Job:  map 18% reduce 0%
21/10/20 13:23:15 INFO mapreduce.Job:  map 19% reduce 0%
21/10/20 13:23:16 INFO mapreduce.Job:  map 20% reduce 0%
21/10/20 13:23:17 INFO mapreduce.Job:  map 21% reduce 2%
21/10/20 13:23:18 INFO mapreduce.Job:  map 22% reduce 2%
21/10/20 13:23:20 INFO mapreduce.Job:  map 23% reduce 3%
21/10/20 13:23:29 INFO mapreduce.Job:  map 24% reduce 3%
21/10/20 13:23:30 INFO mapreduce.Job:  map 25% reduce 3%
21/10/20 13:23:32 INFO mapreduce.Job:  map 26% reduce 3%
21/10/20 13:23:33 INFO mapreduce.Job:  map 27% reduce 3%
21/10/20 13:23:35 INFO mapreduce.Job:  map 28% reduce 3%
21/10/20 13:23:38 INFO mapreduce.Job:  map 28% reduce 4%
21/10/20 13:23:41 INFO mapreduce.Job:  map 28% reduce 5%
21/10/20 13:23:42 INFO mapreduce.Job:  map 29% reduce 5%
21/10/20 13:23:44 INFO mapreduce.Job:  map 30% reduce 5%
21/10/20 13:23:45 INFO mapreduce.Job:  map 32% reduce 5%
21/10/20 13:23:47 INFO mapreduce.Job:  map 33% reduce 5%
21/10/20 13:23:54 INFO mapreduce.Job:  map 33% reduce 9%
21/10/20 13:23:55 INFO mapreduce.Job:  map 34% reduce 9%
21/10/20 13:23:57 INFO mapreduce.Job:  map 35% reduce 9%
21/10/20 13:23:58 INFO mapreduce.Job:  map 36% reduce 9%
21/10/20 13:23:59 INFO mapreduce.Job:  map 37% reduce 9%
21/10/20 13:24:00 INFO mapreduce.Job:  map 37% reduce 10%
21/10/20 13:24:05 INFO mapreduce.Job:  map 38% reduce 10%
21/10/20 13:24:07 INFO mapreduce.Job:  map 39% reduce 10%
21/10/20 13:24:08 INFO mapreduce.Job:  map 40% reduce 10%
21/10/20 13:24:09 INFO mapreduce.Job:  map 41% reduce 10%
21/10/20 13:24:12 INFO mapreduce.Job:  map 41% reduce 13%
21/10/20 13:24:14 INFO mapreduce.Job:  map 42% reduce 13%
21/10/20 13:24:16 INFO mapreduce.Job:  map 43% reduce 13%
21/10/20 13:24:20 INFO mapreduce.Job:  map 44% reduce 13%
21/10/20 13:24:21 INFO mapreduce.Job:  map 45% reduce 13%
21/10/20 13:24:24 INFO mapreduce.Job:  map 46% reduce 13%
21/10/20 13:24:27 INFO mapreduce.Job:  map 46% reduce 14%
21/10/20 13:24:28 INFO mapreduce.Job:  map 47% reduce 14%
21/10/20 13:24:33 INFO mapreduce.Job:  map 49% reduce 16%
21/10/20 13:24:34 INFO mapreduce.Job:  map 50% reduce 16%
21/10/20 13:24:36 INFO mapreduce.Job:  map 51% reduce 16%
21/10/20 13:24:39 INFO mapreduce.Job:  map 51% reduce 17%
